,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
49,-999,1.0653754721,0,0.0,-1.0,11.8269704498,768,23.5895592538,-999.0,22.6281421143,21.4922361577,st82-1hr
50,-999,1.05284145924,0,0.0,-1.0,11.8338552385,4,22.0011449476,-999.0,20.1600581864,19.0250519084,st82-1hr
51,3,1.05274287007,0,17.9659886674,0.245499159915,11.8387651934,1776,22.3552111554,1.0835,21.9861647504,21.1200724166,st82-1hr
52,3,0.96252515378,0,4.52439944613,0.520756884858,11.8567136327,2032,22.5362014062,0.8434,22.0400842122,21.0328576007,st82-1hr
53,3,1.02197295873,0,15.9658547438,0.308224045875,11.8523861915,1808,23.4841295286,1.0193,22.8031091518,21.609816206,st82-1hr
54,-999,1.01064021974,0,0.0,-1.0,11.8603418921,2,19.0946587777,-999.0,18.7784669225,18.6867257509,st82-1hr
55,-999,1.06931537372,0,0.0,-1.0,11.8529885317,784,23.5623242635,-999.0,22.8579025954,21.8389462944,st82-1hr
56,-999,0.944343499812,0,0.0,-1.0,11.8805094331,1792,23.4289885116,-999.0,22.3298721765,20.5504766524,st82-1hr
57,3,0.990224543917,0,7.74932626069,0.470296385233,11.8797506156,1792,23.2220996529,0.82235,22.3619216377,21.228751509,st82-1hr
58,-999,0.95853021924,0,0.0,-1.0,11.8883002385,4,22.518615437,-999.0,20.5344801437,19.2974552679,st82-1hr
59,-999,1.04105155924,0,0.0,-1.0,11.8777562385,4,21.6163743701,-999.0,19.7424622824,18.6360885279,st82-1hr
60,3,1.06044569763,0,12.1314696128,0.212079007837,11.8763960668,2032,23.2090121894,1.2692,23.0148462364,22.1976942781,st82-1hr
61,-999,1.01405748739,0,0.0,-1.0,11.8889945523,1744,23.0951138826,-999.0,22.9210580396,22.4605107357,st82-1hr
62,-999,1.00103713672,0,0.0,-1.0,11.8933980707,16,22.2917432261,-999.0,21.802141093,21.1194758836,st82-1hr
63,3,1.02480169055,0,15.1320232691,0.524060238415,11.9003271,2032,23.3122487573,1.0544,23.0546753299,22.2705520761,st82-1hr
