#Table1
#ra dec psfMag_u psfMag_g psfMag_r psfMag_i psfMag_z extinction_r propermotion angle run rerun camCol field obj objID
124.070672816346 25.7924080213092 20.0885 18.98231 18.64646 18.53534 18.4587 0.08411398 0 0 3605 301 3 102 191 1237660957571154111
124.15031611626 25.40899137965 20.63932 19.65199 19.39997 19.29432 19.23883 0.08852197 0 0 3605 301 2 101 172 1237660957034217644
124.080908583387 25.333006258792 20.76015 19.52298 19.20561 19.07072 19.04243 0.09021998 0 0 3605 301 2 100 210 1237660957034152146
124.027879824348 25.2808052942496 19.39225 18.29794 18.05154 18.00343 18.00509 0.08955605 0 0 3605 301 2 99 361 1237660957034086761
124.143996300521 27.1970622541935 20.69883 19.74877 19.51638 19.42555 19.50375 0.08491796 0 0 3560 301 6 113 235 1237660765908959467
124.061271501165 27.2217266187309 20.37151 19.42989 19.08775 18.94536 19.0532 0.07962293 0 0 3560 301 6 113 198 1237660765908959430
124.051446634375 26.6111314836708 20.90991 19.97883 19.65132 19.47977 19.5257 0.1017434 1.264911 -71.56505 3560 301 5 110 353 1237660765371892065
124.121294777916 26.5429655710869 19.5203 18.45048 18.11922 18.01226 17.97812 0.09745373 0 0 3560 301 5 110 280 1237660765371891992
124.074448541401 26.5712822792502 19.57868 18.52278 18.24409 18.17202 18.15728 0.1009784 0 0 3560 301 5 110 271 1237660765371891983
124.060907830445 26.0366422456905 20.79127 19.84934 19.61208 19.58663 19.49289 0.0806613 1.523155 113.1986 3560 301 4 108 230 1237660764834889958
124.107342733485 26.1112118418953 18.56994 17.54763 17.14435 17.00886 16.96936 0.07918909 0.8485281 45 3560 301 4 108 106 1237660764834889834
124.140230445551 25.4394877433332 19.46187 18.47346 18.25845 18.1994 18.19468 0.08883746 0 0 3560 301 3 106 246 1237660764297887990
124.063396096208 25.4603246911361 20.08268 19.09488 18.87307 18.79049 18.82544 0.09101582 0 0 3560 301 3 105 384 1237660764297822592
124.123703990441 29.3201293127684 20.65819 19.95124 19.6726 19.51229 19.39296 0.07403754 0 0 3462 301 6 102 293 1237660345001443621
124.095667657496 28.5945005843759 20.6085 19.61723 19.27987 19.16216 19.11463 0.06731559 1.612452 29.74488 3462 301 5 99 232 1237660344464376040
124.086527670931 28.5623392253339 20.21267 19.29712 18.99044 18.91168 18.83307 0.06750958 0.6324555 -161.565 3462 301 5 98 321 1237660344464310593
124.075207808077 28.5123390165323 20.56434 19.50897 19.19118 19.0365 19.07943 0.06693143 0 0 3462 301 5 98 244 1237660344464310516
124.038233638935 28.5450385133264 19.03353 18.17316 17.867 17.75163 17.73544 0.06974164 0.8246211 -165.9638 3462 301 5 98 111 1237660344464310383
124.10933382661 27.4630554606828 20.96241 20.23569 19.9397 19.81227 20.00664 0.07391679 0 0 3462 301 3 94 367 1237660343390306671
124.122999266599 27.5795476257721 20.20917 19.26015 18.93327 18.82895 18.79588 0.07866382 1.8 90 3462 301 3 94 274 1237660343390306578
124.056217550786 27.6296960570691 21.12605 20.09507 19.78825 19.6278 19.55633 0.07727022 1.442221 146.3099 3462 301 3 94 258 1237660343390306562
124.057161097388 27.5454935127761 20.92868 19.77246 19.44809 19.31056 19.39672 0.07648943 1.414214 8.130102 3462 301 3 94 221 1237660343390306525
124.064925959107 27.5327434964426 19.74129 18.70745 18.38409 18.26378 18.22821 0.07618272 0 0 3462 301 3 94 217 1237660343390306521
124.144350083151 29.8579430143158 18.83601 17.89312 17.59255 17.50206 17.47939 0.0902646 1.019804 -11.30993 2963 301 3 12 209 1237658200196251857
124.115374618849 29.7830711677117 20.92276 20.00727 19.68272 19.59075 19.66084 0.08874454 0.5656855 -45 2961 301 3 68 241 1237658191609987313
124.11185635054 29.5678126760461 19.58788 18.65051 18.35934 18.25031 18.2265 0.07917536 0 0 2961 301 3 67 240 1237658191609921776
124.143125490494 28.5136521600504 20.97686 19.8635 19.50962 19.37547 19.37969 0.06524171 0 0 2961 301 1 62 445 1237658190535852477
124.129190668282 28.5193266009325 20.51096 19.51204 19.15766 19.00963 18.90959 0.06548594 0 0 2961 301 1 62 305 1237658190535852337
117.196122054573 27.1479270099039 20.51969 19.42368 19.12198 19.01697 18.97573 0.07350517 0 0 2864 301 5 58 294 1237657776071246118
116.736149967791 25.4689799324825 20.41926 19.3886 19.05507 18.91621 18.8977 0.0893537 0 0 2864 301 3 48 250 1237657774996848890
116.708635910175 25.0260948665653 20.99067 20.04556 19.69826 19.59875 19.5072 0.1139575 0 0 2864 301 2 45 468 1237657774459781588
117.336493081404 27.6892459419946 20.14746 19.02802 18.67633 18.54379 18.51626 0.07596634 0 0 2830 301 6 53 450 1237657630578901442
116.708662471795 27.0398701080723 19.64984 18.57669 18.2923 18.19039 18.20865 0.08761527 0 0 2830 301 6 47 435 1237657630578508211
118.015770300815 27.2805956655024 20.95323 19.95169 19.71468 19.54004 19.49846 0.07731093 0 0 2830 301 4 53 600 1237657629505159768
118.635753300167 26.4185362387605 20.27478 19.1921 18.92146 18.80937 18.79075 0.08001634 0 0 2830 301 2 52 457 1237657628431352265
112.844649370909 25.3279600926852 21.45348 20.34599 19.98673 19.79178 19.6611 0.1140637 0 0 2825 301 3 18 882 1237657607491158898
115.950929680611 29.1504283940268 20.74307 19.75131 19.50072 19.40888 19.3408 0.0748003 0 0 2822 301 3 54 351 1237657594608615775
116.16433831905 28.1069118040477 20.28142 19.2699 19.05684 19.06328 18.90593 0.07968274 0 0 2822 301 1 49 106 1237657593534546026
113.844709287167 26.3799341928021 20.72185 19.6775 19.34799 19.207 19.22923 0.1170419 0 0 2711 301 6 35 554 1237657119476613674
114.852028893021 26.7072164270912 20.26788 19.25564 18.95957 18.88436 18.91172 0.09317657 0 0 2711 301 5 40 626 1237657118940070514
114.853403539634 25.9864667436046 20.49588 19.35351 19.06792 18.93381 18.82964 0.10822 0 0 2711 301 4 37 397 1237657118403002765
114.552637223693 25.582986342575 20.11908 19.13291 18.79944 18.70202 18.6429 0.1184646 0 0 2711 301 4 34 260 1237657118402806020
114.394505614719 25.6765034815164 19.89363 18.88128 18.52638 18.38943 18.37394 0.1046428 0 0 2711 301 4 33 604 1237657118402740828
113.367987931651 29.8537580129502 20.63397 19.68353 19.3972 19.24449 19.19 0.1321729 0 0 2137 301 5 72 500 1237654653630939636
113.052037926074 29.3383963931138 19.89658 18.75368 18.50774 18.41659 18.39403 0.1562485 0 0 2137 301 5 68 555 1237654653630677547
112.360323891459 28.549432289512 21.2045 20.07672 19.73618 19.60076 19.52278 0.1037964 0 0 2137 301 5 62 406 1237654653630284182
112.287783048911 28.3790011964798 20.14302 19.02277 18.71678 18.56191 18.53582 0.1056481 0 0 2137 301 5 61 324 1237654653630218564
113.150241930385 29.0344599901158 21.64371 20.34183 19.99407 19.82957 19.83317 0.1308169 0 0 2137 301 4 67 752 1237654653093741296
112.843099321756 28.508371321554 19.92119 18.97812 18.6824 18.5793 18.61559 0.1067454 0.6324555 -18.43495 2137 301 4 63 489 1237654653093478889
112.288057945199 27.6781735019974 19.88889 18.77877 18.48056 18.41226 18.43178 0.09974056 0.8246211 104.0362 2137 301 4 57 529 1237654653093085713
113.369493779564 28.5211273694115 18.84484 17.76669 17.42048 17.32442 17.28413 0.09424558 0 0 2137 301 3 65 93 1237654652556738653
112.361126406671 27.2665033077479 20.53308 19.45273 19.11522 19.02872 19.07868 0.1225614 0 0 2137 301 3 55 461 1237654652556083661
112.287869625022 27.2277348698298 21.04385 19.95187 19.63426 19.55507 19.59572 0.1174005 0 0 2137 301 3 54 530 1237654652556018194
111.683632889291 28.031329885009 20.4671 19.35748 19.05422 18.88727 18.85923 0.09000175 0 0 2131 301 6 28 421 1237654628395123109
111.036176577301 27.1493785568154 19.66608 18.54414 18.23313 18.1309 18.08747 0.1529917 0 0 2131 301 6 21 470 1237654628394664406
112.491169795127 28.507179332129 20.53519 19.45254 19.10638 18.94899 18.96177 0.09813391 0 0 2131 301 5 33 563 1237654627858580019
112.943819176174 28.1032161810628 19.40314 18.29122 17.98887 17.90924 17.93697 0.08640206 0 0 2131 301 4 32 619 1237654627321643627
112.743816369171 28.0566647382656 20.31237 19.22145 18.93248 18.83433 18.84727 0.09444667 0 0 2131 301 4 31 598 1237654627321578070
